GeneID,n_reads,tso_reads,noise_reads,perfect_molecule_barcodes,reads_mapped_exonic,reads_mapped_exonic_as,reads_mapped_intronic,reads_mapped_intronic_as,reads_mapped_uniquely,reads_mapped_multiple,duplicate_reads,spliced_reads,antisense_reads,molecule_barcode_fraction_bases_above_30_mean,molecule_barcode_fraction_bases_above_30_variance,genomic_reads_fraction_bases_quality_above_30_mean,genomic_reads_fraction_bases_quality_above_30_variance,genomic_read_quality_mean,genomic_read_quality_variance,n_molecules,n_fragments,reads_per_molecule,reads_per_fragment,fragments_per_molecule,fragments_with_single_read_evidence,molecules_with_single_read_evidence,reads_mapped_mitochondrial,number_cells_detected_multiple,number_cells_expressing
ABL2,21635,3809,0,19508,3108,0,18357,0,21465,170,0,270,0,0.9807603644,0.004538820125,0.9832458015,0.004594844766,39.66855621,2.189812422,2207,14458,9.802900314,1.496403337,6.550974369,9989,399,0,1250,1454
ABLIM1,88297,10885,0,81831,7418,0,79977,0,87395,902,0,1452,0,0.9795746396,0.004686526489,0.9827927061,0.004002375528,39.66349792,1.852031231,9091,61438,9.712573051,1.437172413,6.758112431,43530,1726,0,3548,4163
ABLIM2,27564,3450,0,24598,1871,0,24885,0,26756,808,0,734,0,0.9789671542,0.004610922653,0.9821280953,0.00392207969,39.65185928,1.832437992,3762,19241,7.326953888,1.432565928,5.114566803,13949,840,0,1646,1973
ABLIM3,11871,1568,0,10551,1402,0,10429,0,11831,40,0,205,0,0.9800354018,0.004952169023,0.98537616,0.003239856334,39.7199707,1.416570544,1285,7989,9.238132477,1.485918164,6.217120647,5648,233,0,748,866
ABO,5849,758,0,5121,375,0,5423,0,5798,51,0,59,0,0.9799823567,0.004048749339,0.9807203854,0.004063366447,39.61968231,1.894417644,643,3850,9.096423149,1.519220829,5.987558365,2636,158,0,382,482
ABR,27435,3755,0,21509,7927,0,16314,0,24241,3194,0,1732,0,0.9784733834,0.004887052812,0.8968564375,0.0591760315,37.56036377,35.83829117,5440,19490,5.043198586,1.407644987,3.582720518,14629,2760,0,1821,3398
ABRA,1762,194,0,1436,793,0,968,0,1761,1,0,11,0,0.9836360361,0.003683419432,0.9863602312,0.003158679698,39.73260498,1.445002198,128,1167,13.765625,1.509854317,9.1171875,779,21,0,90,104
ABRACL,3147,211,0,2911,1890,0,1239,0,3129,18,0,33,0,0.9856742041,0.002953477204,0.9850051557,0.002972204471,39.71107483,1.316011786,241,2129,13.05809116,1.478158712,8.834024429,1480,41,0,186,218
ABRAXAS1,628,135,0,550,162,0,413,0,575,53,0,41,0,0.9836783668,0.004108064342,0.983740296,0.003450126387,39.68375397,1.50020659,99,396,6.343434334,1.585858583,4,275,22,0,75,95
ABRAXAS2,3839,520,0,3400,1448,0,2308,0,3756,83,0,295,0,0.9774029946,0.004973504692,0.9826372908,0.004948138259,39.6527977,2.401040077,469,2526,8.185501099,1.519794106,5.385927677,1756,130,0,301,400
ABT1,1424,101,0,1325,1398,0,24,0,1422,2,0,34,0,0.9823267983,0.004177167546,0.9838093462,0.003655761015,39.69264984,1.731889129,107,1008,13.3084116,1.412698388,9.420560837,726,15,0,88,101
ABTB1,2643,303,0,2185,2104,0,531,0,2635,8,0,191,0,0.9785282111,0.004598610103,0.9805019954,0.004632720258,39.62444687,2.132462502,348,1921,7.594827652,1.375845909,5.520114899,1430,69,0,255,310
ABTB2,2865,595,0,2508,206,0,2474,0,2680,185,0,68,0,0.9785922251,0.005137836561,0.9839015236,0.003731583944,39.68693542,1.704872608,428,1806,6.693925381,1.586378694,4.21962595,1224,142,0,251,365
ACAA1,1638,167,0,1495,907,0,693,0,1600,38,0,149,0,0.9780219997,0.005481171887,0.9846968252,0.003676312976,39.70884323,1.580098271,205,1203,7.990243912,1.361595988,5.868292809,897,41,0,156,187
ACAA2,694,124,0,646,192,0,470,0,662,32,0,42,0,0.9785062687,0.006121043116,0.9865033983,0.002468602732,39.746521,1.167584419,93,447,7.462365627,1.552572727,4.806451797,317,26,0,61,85
ACACA,34413,5119,0,30964,2975,0,27393,0,30368,4045,0,1059,0,0.9812256243,0.004470802844,0.9834097244,0.004216221161,39.67193222,2.009504557,3913,22354,8.794530869,1.53945601,5.712752342,15313,866,0,1854,2244
